1	31	190.67	3	1	1	1	1	3	569.23	3
2	38.333	184.33	3	1	1	1	1	3	705.05	3
3	44	193	2	1	1	1	1	2	696.38	2
4	43.333	196.67	2	1	1	1	1	2	1133	2
5	44.667	201.33	1	1	1	1	1	1	761.19	1
6	44	205	2	1	1	1	1	2	650.68	2
7	44.667	220.33	1	1	1	1	1	1	2169.4	1
8	44.667	215.67	2	1	1	1	1	2	598.26	2
9	53.667	164.67	1	1	1	1	1	1	487.55	1
10	50	193.67	1	1	1	1	1	1	3221.6	1
11	53	194	2	1	1	1	1	2	2743.3	2
12	51.333	191	1	1	1	1	1	1	2330.6	1
13	54.333	191	1	1	1	1	1	1	2307	1
14	48.333	197	2	1	1	1	1	2	4388.5	2
15	46	195	2	1	1	1	1	2	3502.7	2
16	51.667	197	1	1	1	1	1	1	2600.6	1
17	45.333	199	1	1	1	1	1	1	2130.4	1
18	50.333	200.33	2	1	1	1	1	2	412.43	2
19	50.667	213	2	1	1	1	1	2	1791.1	2
20	48.667	210.67	3	1	1	1	1	3	580.36	3
21	47.333	213.67	2	1	1	1	1	2	563.39	2
22	52.333	206	2	1	1	1	1	2	486.66	2
23	49	216	2	1	1	1	1	2	2515.3	2
24	47.667	221.33	1	1	1	1	1	1	2038.9	1
25	53	216.67	1	1	1	1	1	1	2034.3	1
26	51	222.33	1	1	1	1	1	1	1493.8	1
27	47.333	218	1	1	1	1	1	1	920.65	1
28	48.667	225.33	2	1	1	1	1	2	369.69	2
29	63.333	134.33	3	1	1	1	1	3	477.72	3
30	64	142.33	1	1	1	1	1	1	3869.5	1
31	62	137	1	1	1	1	1	1	621.81	1
32	63	154.33	1	1	1	1	1	1	4846	1
33	61	153	2	1	1	1	1	2	1292.8	2
34	61.333	161	1	1	1	1	1	1	7305.5	1
35	56.667	162	2	1	1	1	1	2	7107.1	2
36	64.667	159	1	1	1	1	1	1	4332.2	1
37	59.333	162.33	1	1	1	1	1	1	4279.3	1
38	64	162	1	1	1	1	1	1	3554.9	1
39	57	164.33	2	1	1	1	1	2	2846.6	2
40	61	155.67	1	1	1	1	1	1	517.1	1
41	63	165.33	2	1	1	1	1	2	2164.5	2
42	59.333	167.33	2	1	1	1	1	2	1715.7	2
43	60.333	180.67	2	1	1	1	1	2	894.64	2
44	58.333	178.33	1	1	1	1	1	1	774	1
45	57.667	180.67	2	1	1	1	1	2	600.22	2
46	63.333	192.33	1	1	1	1	1	1	5147.4	1
47	59.333	187	2	1	1	1	1	2	2782.9	2
48	60	191	1	1	1	1	1	1	2286.2	1
49	62	189	2	1	1	1	1	2	2235.3	2
50	62	186	1	1	1	1	1	1	1792.8	1
51	64.333	185	1	1	1	1	1	1	1099.7	1
52	56.333	187.67	1	1	1	1	1	1	456.2	1
53	64.667	202.33	2	1	1	1	1	2	11153	2
54	64	199	2	1	1	1	1	2	4879.8	2
55	62.333	201	2	1	1	1	1	2	2672.3	2
56	56	195	1	1	1	1	1	1	2022.1	1
57	59.667	200	2	1	1	1	1	2	1118.4	2
58	59	203	2	1	1	1	1	2	959.77	2
59	55.333	201.67	2	1	1	1	1	2	909.62	2
60	55	197.67	2	1	1	1	1	2	843.59	2
61	57	199	2	1	1	1	1	2	451.68	2
62	62.333	212	2	1	1	1	1	2	6834	2
63	63.667	205	1	1	1	1	1	1	3965.1	1
64	60.333	214.33	2	1	1	1	1	2	3109.4	2
65	60.667	205.33	1	1	1	1	1	1	731.31	1
66	55	206	1	1	1	1	1	1	657.82	1
67	55	209	2	1	1	1	1	2	585.97	2
68	64.333	215.67	1	1	1	1	1	1	2089.1	1
69	59.667	223.67	1	1	1	1	1	1	1585.3	1
70	62	217.67	1	1	1	1	1	1	1482.2	1
71	63.333	220	2	1	1	1	1	2	929.19	2
72	59.333	219.67	1	1	1	1	1	1	840.57	1
73	57	223	2	1	1	1	1	2	645.28	2
74	56.333	215.67	1	1	1	1	1	1	410.35	1
75	67	114	3	1	1	1	1	3	1093.9	3
76	73.667	106	1	1	1	1	1	1	1087.4	1
77	71.667	108.67	2	1	1	1	1	2	476.87	2
78	74.667	124.33	1	1	1	1	1	1	6593.8	1
79	72.333	123.67	2	1	1	1	1	2	1411.4	2
80	70.333	118.67	1	1	1	1	1	1	1101.8	1
81	67.667	118	1	1	1	1	1	1	1073.8	1
82	69.667	122.33	1	1	1	1	1	1	936.37	1
83	73.333	117.67	1	1	1	1	1	1	832.48	1
84	74.333	122	2	1	1	1	1	2	688.71	2
85	68.333	115.67	1	1	1	1	1	1	418.81	1
86	74.667	129.33	2	1	1	1	1	2	9001	2
87	73	131	1	1	1	1	1	1	7232.2	1
88	70.667	130.33	1	1	1	1	1	1	5522.7	1
89	72.667	128	1	1	1	1	1	1	3017	1
90	68.667	133.33	1	1	1	1	1	1	2843.9	1
91	71	133.67	2	1	1	1	1	2	2513.1	2
92	66.333	134	1	1	1	1	1	1	1922.6	1
93	69	128	2	1	1	1	1	2	1199.1	2
94	68.333	131	1	1	1	1	1	1	982.01	1
95	71.667	144	2	1	1	1	1	2	12414	2
96	67.333	141.67	1	1	1	1	1	1	2006.6	1
97	66.667	138	1	1	1	1	1	1	1775.1	1
98	69.667	139	1	1	1	1	1	1	1009.9	1
99	65.667	144.33	1	1	1	1	1	1	1009.8	1
100	74.667	152.67	2	1	1	1	1	2	6368.3	2
101	69.667	145.33	2	1	1	1	1	2	2279.9	2
102	73	150.33	2	1	1	1	1	2	1718	2
103	72.333	153.33	2	1	1	1	1	2	419.77	2
104	73	158	2	1	1	1	1	2	5620.5	2
105	71.667	161	2	1	1	1	1	2	1979.6	2
106	68.333	162.67	1	1	1	1	1	1	1548.1	1
107	73	155.67	2	1	1	1	1	2	1270.9	2
108	70.667	158.67	2	1	1	1	1	2	1099.9	2
109	66.333	164	1	1	1	1	1	1	427.46	1
110	68.333	165.67	1	1	1	1	1	1	3323.9	1
111	72.667	167	1	1	1	1	1	1	2039	1
