0	487.5
0	412.5
0	337.5
65	600
65	525
65	450
65	375
65	300
65	225
130	712.5
130	637.5
130	562.5
130	487.5
130	412.5
130	337.5
130	262.5
130	187.5
130	112.5
195	825
195	750
195	675
195	600
195	525
195	450
195	375
195	300
195	225
195	150
195	75
259	862.5
259	787.5
259	712.5
259	637.5
259	562.5
259	487.5
259	412.5
259	337.5
259	262.5
259	187.5
259	112.5
259	37.50
324	825
324	750
324	675
324	600
324	525
324	450
324	375
324	300
324	225
324	150
324	75
324	0
389	862.5
389	787.5
389	712.5
389	637.5
389	562.5
389	487.5
389	412.5
389	337.5
389	262.5
389	187.5
389	112.5
389	37.50
454	825
454	750
454	675
454	600
454	525
454	450
454	375
454	300
454	225
454	150
454	75
454	0
519	862.5
519	787.5
519	712.5
519	637.5
519	562.5
519	487.5
519	412.5
519	337.5
519	262.5
519	187.5
519	112.5
519	37.50
584	825
584	750
584	675
584	600
584	525
584	450
584	375
584	300
584	225
584	150
584	75
584	0
649	862.5
649	787.5
649	712.5
649	637.5
649	562.5
649	487.5
649	412.5
649	337.5
649	262.5
649	187.5
649	112.5
649	37.50
714	825
714	750
714	675
714	600
714	525
714	450
714	375
714	300
714	225
714	150
714	75
779	787.5
779	712.5
779	637.5
779	562.5
779	487.5
779	412.5
779	337.5
779	262.5
779	187.5
844	675
844	600
844	525
844	450
844	375
844	300
909	562.5
909	487.5
909	412.5
